room_type,neighbourhood,minimum_nights,calculated_host_listings_count,availability_365,price
1,12,3,1,1,295
0,30,2,1,0,70
0,6,2,2,0,58
1,6,3,1,267,75
0,31,5,1,0,38
1,7,30,31,270,100
1,28,7,1,43,260
1,11,1,1,4,147
0,20,1,1,0,34
0,15,1,1,0,65
1,19,30,9,150,125
1,71,30,65,338,310
0,21,1,5,329,50
0,19,1,1,0,79
1,38,30,2,63,329
0,81,1,2,170,115
1,21,3,1,0,140
1,13,3,2,112,225
0,2,1,5,281,149
0,73,2,1,124,50
0,2,30,7,364,88
1,37,2,1,0,200
1,12,14,1,0,160
1,6,2,1,89,125
0,30,4,3,0,75
0,83,2,1,57,80
1,13,2,1,0,140
1,13,2,1,41,134
0,24,10,1,0,65
1,20,30,52,327,159
1,19,2,1,52,300
0,46,1,1,180,95
0,5,15,1,0,70
1,3,2,6,199,248
1,30,1,5,364,750
0,21,2,1,0,90
1,12,30,8,161,80
1,30,7,1,67,85
0,22,3,1,0,50
1,12,2,1,0,295
0,23,14,1,0,80
0,19,3,1,0,109
0,11,3,1,0,100
0,6,2,1,339,45
1,49,3,1,243,135
1,114,4,3,124,115
0,28,5,1,341,185
1,20,3,1,42,150
1,26,30,232,312,290
0,100,1,2,0,80
0,21,1,3,0,65
0,24,31,2,242,45
1,54,1,1,7,80
0,124,1,3,365,75
0,2,7,1,213,69
0,56,4,1,0,65
0,6,4,1,0,60
1,68,3,1,0,195
0,2,15,3,106,69
1,49,5,1,0,160
1,12,3,1,0,150
0,19,1,2,0,250
1,3,3,1,0,90
1,1,2,1,129,235
0,71,1,7,230,100
1,28,1,1,15,239
1,2,1,1,32,65
1,98,3,1,228,115
1,183,1,1,282,60
0,21,7,1,173,60
0,19,14,1,0,45
1,23,1,1,0,300
0,31,5,2,0,35
0,21,4,4,98,69
1,19,30,1,301,198
1,19,5,1,0,100
0,99,2,4,249,60
0,6,1,1,179,225
1,54,2,4,328,325
1,8,2,1,286,350
0,20,1,1,0,45
1,5,6,1,341,200
1,13,4,1,190,100
1,35,2,1,194,125
0,84,2,3,365,68
1,6,5,2,91,115
0,12,3,1,36,55
1,25,15,1,0,65
1,8,5,1,9,300
1,68,3,1,3,100
0,1,3,1,278,98
1,6,1,1,0,100
1,8,2,1,5,165
0,21,7,1,95,55
0,144,1,1,363,149
0,23,2,4,0,102
0,2,1,4,355,85
0,3,1,1,179,89
0,17,2,1,74,45
1,77,4,1,0,299
1,25,30,1,0,130
0,8,14,1,176,93
1,1,2,1,0,210
1,19,3,1,0,200
0,63,1,1,93,70
1,18,1,1,64,90
1,28,1,11,330,140
0,20,1,1,0,60
1,150,2,2,342,125
0,37,1,6,121,49
1,75,1,1,0,125
0,21,5,3,0,45
0,4,1,4,199,65
0,12,5,1,0,65
0,117,1,1,0,50
0,19,1,1,0,49
1,45,4,1,0,120
0,19,1,1,365,125
1,2,1,3,0,150
1,12,3,2,141,200
1,5,3,1,0,144
1,29,4,1,0,135
0,49,2,1,350,90
1,6,30,2,45,120
1,12,2,1,3,160
1,19,30,232,330,314
0,15,2,1,8,54
0,22,3,2,311,50
1,25,2,1,266,275
0,2,1,1,19,68
2,54,1,2,364,50
1,6,2,1,0,125
0,21,2,1,198,75
0,117,1,3,330,100
1,8,3,1,0,130
1,47,1,1,0,100
1,13,3,1,125,270
0,6,7,1,0,48
0,64,2,3,59,130
1,12,3,1,0,200
0,12,1,1,249,43
0,59,1,1,83,60
1,6,4,2,340,130
1,11,2,1,0,275
1,95,1,1,130,79
0,6,1,2,236,48
1,2,3,3,302,450
1,7,3,1,108,639
0,30,2,1,0,40
0,21,1,1,71,51
0,79,3,1,281,52
0,15,1,2,323,65
1,11,30,65,326,188
0,3,1,1,0,120
0,63,2,5,235,58
0,16,14,2,0,60
0,7,2,3,3,115
1,101,1,1,43,199
1,22,5,1,0,290
1,7,30,121,365,275
0,73,1,1,341,60
0,111,1,7,350,60
0,31,1,2,295,50
0,4,1,1,0,75
1,12,1,1,16,82
1,62,1,2,134,150
2,28,3,1,0,99
0,3,3,1,0,65
1,22,3,1,69,100
1,70,4,2,33,72
0,30,2,1,29,50
0,6,5,3,63,81
1,6,2,2,0,120
1,21,3,2,0,95
1,64,3,1,0,119
1,26,4,1,78,220
0,9,1,3,91,122
0,7,30,47,351,55
1,12,30,3,342,218
1,1,12,1,118,150
1,12,2,1,147,212
0,2,4,2,125,69
1,26,2,1,0,150
1,10,70,1,0,70
1,27,3,1,44,235
1,21,30,1,6,78
1,12,6,1,40,150
0,13,1,2,72,89
1,11,1,1,0,200
1,6,5,1,0,175
0,28,1,1,319,80
0,21,3,2,0,50
1,2,3,1,159,150
0,24,2,1,0,75
0,9,2,1,6,100
2,8,1,2,363,50
0,17,2,1,272,135
0,30,30,34,311,65
2,54,7,1,179,50
1,7,3,1,5,390
1,0,1,1,0,95
0,21,14,1,31,52
1,21,2,1,19,162
0,72,5,1,174,45
0,90,1,2,179,79
0,45,9,1,0,60
0,14,3,1,27,76
0,8,1,1,246,99
0,30,2,1,0,45
1,83,2,1,288,144
1,7,30,20,272,130
1,2,1,1,0,89
1,28,2,1,0,125
2,12,1,3,75,40
1,6,31,2,155,120
0,11,3,1,52,160
0,49,3,1,88,85
1,23,35,1,0,85
0,2,1,1,0,80
0,21,1,1,48,65
1,5,30,1,135,220
0,100,1,4,347,75
0,2,2,2,0,65
1,64,5,1,0,350
1,7,30,18,146,499
1,6,2,1,0,142
1,117,2,1,0,116
0,87,2,2,19,60
0,28,1,2,0,85
1,8,3,1,0,150
0,22,2,1,0,69
1,21,30,1,0,70
0,12,1,1,0,100
1,28,31,33,299,190
1,2,2,1,0,99
0,44,1,1,272,50
0,19,7,1,0,100
0,183,1,3,356,84
0,4,2,1,0,85
1,22,3,1,0,100
1,22,2,1,160,150
1,12,10,1,0,80
0,56,1,9,363,50
0,21,2,3,4,65
1,2,2,1,0,160
1,32,2,1,0,149
0,7,1,1,341,125
1,71,1,1,301,890
1,188,7,1,254,69
0,28,1,2,258,79
1,4,2,1,3,115
1,33,3,1,5,180
0,15,1,1,0,70
0,31,2,5,125,57
1,28,3,1,93,199
0,8,1,1,0,75
0,12,3,1,0,65
1,19,3,1,0,250
0,13,2,1,0,102
0,44,14,1,332,75
1,8,3,1,320,550
1,77,2,1,363,500
1,27,1,1,187,190
1,20,30,4,301,110
0,101,1,7,339,100
0,123,2,1,3,52
1,12,2,1,223,250
0,26,2,1,242,175
1,33,1,5,365,150
0,20,5,1,0,99
1,24,3,2,0,125
0,12,2,1,0,70
0,20,14,1,0,49
1,28,2,1,0,200
0,2,1,1,0,49
0,12,2,2,365,75
1,1,30,121,351,239
0,49,2,1,35,55
0,49,1,2,0,55
0,30,3,1,66,55
1,14,4,1,0,110
1,12,1,4,177,2000
0,20,3,1,15,59
1,39,2,1,169,115
1,12,3,1,0,160
0,30,13,1,0,37
1,36,3,1,0,145
0,12,1,3,0,80
1,39,21,1,0,82
0,65,1,1,0,50
1,12,3,1,0,200
1,7,2,1,0,160
1,6,3,1,64,169
1,12,3,1,0,210
1,43,2,1,158,525
0,24,4,1,6,50
1,22,3,1,0,120
0,64,1,8,0,84
1,6,3,1,1,113
1,2,2,1,0,200
1,19,10,1,0,150
1,52,3,1,7,350
1,27,2,1,2,800
0,46,1,2,179,159
1,24,2,1,0,75
1,1,3,1,5,140
0,2,2,1,0,55
0,19,90,1,173,80
0,6,2,1,0,54
1,20,3,1,0,350
0,49,1,2,31,70
2,67,7,6,313,25
1,3,2,1,314,155
0,26,1,3,37,115
0,12,1,1,0,90
0,70,1,2,365,50
1,53,2,1,0,220
1,7,2,1,29,190
0,6,1,3,288,49
0,15,1,1,0,57
0,19,4,2,0,49
1,27,3,1,0,900
1,50,3,1,362,1500
1,43,2,1,72,150
0,14,1,4,29,69
1,28,3,1,0,110
1,22,30,1,47,115
0,155,1,2,0,750
0,12,2,4,3,95
0,54,1,2,35,80
1,7,3,1,4,198
0,19,7,1,359,95
1,21,3,1,0,136
0,19,1,1,0,180
1,56,3,2,352,130
1,14,1,1,2,195
0,12,1,1,0,60
1,4,1,1,338,185
1,49,7,1,0,80
0,28,1,1,0,80
1,19,5,1,0,175
0,7,7,47,337,62
1,159,2,1,47,250
1,1,1,8,0,275
1,6,2,1,0,94
1,19,2,1,39,136
0,19,2,2,0,95
0,12,2,3,42,69
0,6,7,1,0,42
1,19,3,1,0,320
0,6,2,1,0,62
1,25,6,1,0,90
1,19,1,1,0,190
0,7,2,2,0,155
0,79,1,1,8,49
0,30,1,1,0,60
0,12,2,1,0,60
1,6,3,2,0,120
1,19,30,1,314,139
1,68,2,1,65,350
1,19,1,1,157,290
0,79,7,1,0,45
1,7,30,31,339,125
1,117,35,1,0,80
1,12,6,1,4,149
2,73,30,3,84,37
1,6,2,1,268,149
0,8,2,1,6,112
1,16,3,1,0,175
2,73,3,10,281,40
1,50,5,1,1,221
1,12,3,1,359,300
0,46,2,2,90,75
1,43,2,1,0,195
1,6,2,1,6,120
1,8,1,1,0,260
0,23,2,1,0,150
1,28,31,33,326,287
1,12,3,3,78,172
0,21,4,2,0,47
0,8,5,1,0,89
1,12,7,1,43,160
0,13,30,25,305,48
0,2,2,1,364,205
1,19,2,1,0,300
1,3,10,1,0,115
1,11,5,1,365,700
1,28,3,1,0,130
0,28,3,1,131,42
0,27,3,3,276,80
1,12,10,1,0,78
1,6,30,2,111,100
0,2,7,1,0,120
0,12,2,2,5,55
1,20,2,1,229,225
0,12,5,1,43,100
1,8,30,232,218,244
0,19,26,3,129,75
1,63,1,1,282,99
0,83,3,1,59,70
1,52,4,1,259,200
1,19,3,1,99,150
0,10,1,4,24,89
1,28,2,1,363,225
0,32,1,2,0,120
1,56,7,1,3,150
1,15,4,2,0,105
1,8,1,1,0,250
1,14,3,1,323,275
0,95,1,1,0,100
0,52,1,1,0,100
1,7,5,1,228,200
1,12,3,1,0,160
0,21,2,1,3,90
1,19,365,5,305,120
1,126,4,2,157,200
0,2,5,1,119,45
0,14,30,1,270,999
0,21,2,3,280,125
0,6,3,1,0,60
1,24,2,1,20,120
0,15,1,1,66,41
1,19,30,49,364,285
2,160,4,7,365,30
1,8,1,1,0,125
0,13,14,1,128,70
1,5,3,3,294,300
0,84,1,3,67,85
1,77,3,1,11,349
0,63,2,3,364,125
1,43,30,1,310,300
0,7,3,1,216,99
1,7,2,1,9,250
0,7,7,47,348,75
1,39,30,1,213,100
1,93,2,1,73,75
1,12,8,1,0,95
0,44,2,1,104,65
0,2,3,3,281,110
1,38,3,1,0,158
1,55,7,1,326,99
1,49,3,1,299,110
0,25,1,6,356,120
0,116,1,3,364,150
1,1,1,1,0,175
0,13,2,2,0,65
0,56,2,2,357,100
1,7,9,1,12,198
0,21,5,4,325,59
0,1,1,1,0,90
0,1,1,5,287,100
1,10,1,1,1,100
0,2,2,1,65,50
0,57,2,1,47,48
0,21,1,1,0,60
0,14,1,20,360,159
1,21,30,2,365,155
0,8,2,1,333,85
1,8,1,1,0,75
0,12,2,1,0,78
1,20,5,1,0,225
1,7,3,1,2,180
0,4,1,1,0,50
1,8,30,232,156,481
0,45,2,1,202,70
1,15,3,1,90,180
0,24,20,1,35,65
0,7,1,2,176,99
0,28,1,1,0,75
1,10,2,1,1,260
1,3,12,1,13,114
1,70,3,1,94,60
1,63,1,1,0,100
0,162,1,2,337,36
1,8,6,1,0,230
1,19,2,1,0,250
1,9,2,1,0,175
0,20,20,3,342,59
0,71,1,9,299,100
0,54,3,2,0,39
0,6,2,2,0,55
1,8,30,15,317,136
0,18,3,8,282,90
1,4,2,1,19,200
